subject_id,trial,choice,rt,win,reward,iti,p1,p2,p3
1767768139923,1,3,1280,0,-1,1,0.25,0.5,0.75
1767768139923,2,2,399,0,-1,1,0.24055402518254052,0.5081817962587587,0.8260220638220479
1767768139923,3,3,911,0,-1,4,0.25970509677247716,0.4340893372759015,0.7053540846123374
1767768139923,4,1,597,1,1,1,0.23685066526710213,0.39005682518544,0.6612469923459262
1767768139923,5,1,805,0,-1,1,0.39521124161946375,0.5295014005022692,0.624744815069254
1767768139923,6,1,956,0,-1,4,0.40389964414046425,0.5256303514691194,0.6591632674054559
1767768139923,7,2,522,1,1,1,0.35249281281407857,0.5434027321325695,0.5404617812143007
1767768139923,8,2,537,1,1,1,0.3176940342876211,0.6888885013685692,0.5509823541956785
1767768139923,9,2,401,1,1,1,0.3954202822723053,0.627807000442626,0.4800515153860519
1767768139923,10,2,313,1,1,1,0.42498452224404726,0.5940257293668133,0.42091395182524666
1767768139923,11,2,281,0,-1,4,0.4220950250383221,0.565826902064847,0.38840642870544073
1767768139923,12,2,388,1,1,1,0.3584216981566068,0.5875029473945614,0.2581496415618308
1767768139923,13,2,341,0,-1,1,0.3270056914292829,0.5764224519429437,0.2540525687832284
1767768139923,14,2,580,1,1,4,0.28782383583801185,0.633762381592153,0.2842608237907668
1767768139923,15,2,702,0,-1,1,0.16152479174414197,0.54417225590628,0.4412171382029402
1767768139923,16,3,491,1,1,4,0.1872648575199529,0.5018930012524838,0.4409333821269081
1767768139923,17,3,373,1,1,1,0.15136794209616844,0.48804393261325707,0.48073822813143374
1767768139923,18,3,325,1,1,1,0.2806633282166314,0.4852548258094223,0.5262084814868687
1767768139923,19,3,327,0,-1,1,0.2831079286437105,0.42871831527638266,0.6442041365158784
1767768139923,20,3,686,1,1,1,0.21784615445652078,0.42247707721506905,0.7023271622518332
1767768139923,21,3,596,0,-1,1,0.11470750567367587,0.3569201713956729,0.6223540442820981
1767768139923,22,3,898,1,1,4,0.11343424455894252,0.26346759082288623,0.613598503374455
1767768139923,23,3,385,1,1,1,0.24519400231869004,0.29109132913080915,0.5990966714831032
1767768139923,24,3,328,1,1,4,0.20856451075519106,0.25221792099793283,0.6489433112226201
1767768139923,25,3,400,1,1,1,0.2703020804640702,0.22930154222228594,0.7791555779658862
1767768139923,26,3,357,1,1,1,0.2506530108743415,0.24670205683604604,0.760346720875079
1767768139923,27,3,339,1,1,1,0.22156801203234341,0.19618976200095195,0.7263159360743057
1767768139923,28,3,296,1,1,4,0.23682803824828688,0.17652298184684262,0.7855015390789364
1767768139923,29,3,402,1,1,4,0.3160651699689513,0.1368529471858705,0.7882298617888398
1767768139923,30,3,373,1,1,1,0.3224961263695858,0.15441928270408944,0.6676440452065852
1767768139923,31,3,372,1,1,1,0.3537417142581368,0.10035339104297877,0.7362637371358651
1767768139923,32,3,354,0,-1,1,0.29636102717393814,0.1286283762879191,0.7218499074645279
1767768139923,33,3,1213,1,1,4,0.3206078919204458,0.12137693409776099,0.8406899362755753
1767768139923,34,3,383,1,1,4,0.21264016827723953,0.1182751308906102,0.8653363165852118
1767768139923,35,3,341,0,-1,4,0.24062649623073404,0.14869745889821015,0.8304021835303429
1767768139923,36,2,371,0,-1,1,0.3832390654415019,0.23952667075858308,0.8678442582260832
1767768139923,37,1,311,1,1,4,0.27561798942605237,0.2437589211116404,0.7982687602465595
1767768139923,38,1,372,0,-1,4,0.17814657299308773,0.37765464717769237,0.872916624792185
1767768139923,39,3,357,1,1,1,0.187328002375179,0.3699737945384092,0.8792262267175842
1767768139923,40,3,311,1,1,4,0.1364648882095567,0.42745413010499517,0.762926662701874
1767768139923,41,3,641,1,1,1,0.20962617306830472,0.37815554759072917,0.7276017062248822
1767768139923,42,3,327,1,1,1,0.27282811692513564,0.3285961722084557,0.684988126748894
1767768139923,43,3,312,0,-1,4,0.33826490631814704,0.3837267090888095,0.6794367781231174
1767768139923,44,1,461,1,1,4,0.3398127694914544,0.42461836982022216,0.7505524798440563
1767768139923,45,1,460,1,1,4,0.424743602024913,0.42777883159829205,0.7780079829114417
1767768139923,46,1,404,0,-1,1,0.39959132651435164,0.47136881859768953,0.8988264990859316
1767768139923,47,1,383,1,1,4,0.4311886837430938,0.48071078231885267,0.8837306153070543
1767768139923,48,1,357,1,1,1,0.4050454395353872,0.560586317310725,0.8445603823468575
1767768139923,49,1,309,0,-1,4,0.49267332859265733,0.5038733229131295,0.7883164497464817
1767768139923,50,3,416,1,1,4,0.569969919953854,0.5018894567227073,0.8265968621079366
1767768139923,51,3,387,1,1,4,0.6594971494169927,0.5104523404409601,0.8354140257456324
1767768139923,52,3,760,1,1,4,0.6901091477579104,0.45606554912670516,0.7587910240398047
1767768139923,53,3,401,1,1,1,0.7629910093426084,0.42581963612717616,0.7121539289833768
1767768139923,54,3,446,1,1,1,0.7120505454063438,0.438982257169339,0.6736299174626539
1767768139923,55,3,265,1,1,4,0.7354453572271105,0.4424935571922936,0.5797363250958704
1767768139923,56,3,431,1,1,4,0.7700555606019996,0.4034338871021615,0.5516162415013037
1767768139923,57,3,357,1,1,4,0.8776761422417826,0.36106049578981425,0.5933105545013578
1767768139923,58,3,373,1,1,1,0.8113514592933353,0.3950516055744552,0.6213832079330174
1767768139923,59,3,326,1,1,1,0.8530221861435501,0.4062464703473035,0.6587328679735212
1767768139923,60,3,341,0,-1,4,0.8053463808110868,0.46918501390090767,0.6487012427714661
1767768139923,61,3,356,0,-1,1,0.8792127803370782,0.4927236342040232,0.5015764976341727
